recipe_title,ingredient_number,seq,token_name,pos,dep
Tiramisù,1,1,Mascarpone,PROPN,ROOT
Tiramisù,1,2,750,NUM,nummod
Tiramisù,1,3,g,X,punct
Tiramisù,2,1,Uova,PROPN,ROOT
Tiramisù,2,2,(,PUNCT,punct
Tiramisù,2,3,freschissime,NOUN,appos
Tiramisù,2,4,",",PUNCT,punct
Tiramisù,2,5,circa,ADV,advmod
Tiramisù,2,6,5,NUM,nummod
Tiramisù,2,7,medie,NOUN,conj
Tiramisù,2,8,),PUNCT,punct
Tiramisù,2,9,260,NUM,nummod
Tiramisù,2,10,g,CCONJ,punct
Tiramisù,3,1,Savoiardi,VERB,ROOT
Tiramisù,3,2,250,NUM,nummod
Tiramisù,3,3,g,CCONJ,punct
Tiramisù,4,1,Zucchero,NOUN,ROOT
Tiramisù,4,2,120,NUM,nummod
Tiramisù,4,3,g,CCONJ,punct
Tiramisù,5,1,Caffè,PROPN,ROOT
Tiramisù,5,2,(,PUNCT,punct
Tiramisù,5,3,della,ADP,case
Tiramisù,5,4,moka,PROPN,nmod
Tiramisù,5,5,",",PUNCT,punct
Tiramisù,5,6, ,SPACE,dep
Tiramisù,5,7,zuccherato,VERB,acl
Tiramisù,5,8,a,ADP,case
Tiramisù,5,9,piacere,NOUN,obl
Tiramisù,5,10,),PUNCT,punct
Tiramisù,5,11,300,NUM,conj
Tiramisù,5,12,g,NOUN,nmod
Tiramisù,6,1,Cacao,NOUN,ROOT
Tiramisù,6,2,amaro,ADJ,amod
Tiramisù,6,3,in,ADP,case
Tiramisù,6,4,polvere,NOUN,nmod
Tiramisù,6,5,q.b,NOUN,nummod
Tiramisù,6,6,.,PUNCT,punct
Crepe alla Nutella,1,1,Uova,NOUN,ROOT
Crepe alla Nutella,1,2,medie,ADJ,amod
Crepe alla Nutella,1,3,3,NUM,nummod
Crepe alla Nutella,2,1,Farina,PROPN,ROOT
Crepe alla Nutella,2,2,00,NUM,flat:name
Crepe alla Nutella,2,3,250,NUM,flat:name
Crepe alla Nutella,2,4,g,NUM,punct
Crepe alla Nutella,3,1,Latte,NOUN,ROOT
Crepe alla Nutella,3,2,intero,ADJ,amod
Crepe alla Nutella,3,3,500,NUM,nummod
Crepe alla Nutella,3,4,ml,ADV,punct
Crepe alla Nutella,4,1,Burro,PROPN,ROOT
Crepe alla Nutella,4,2,40,NUM,nummod
Crepe alla Nutella,4,3,g,X,punct
Crepe alla Nutella,5,1,Burro,PROPN,ROOT
Crepe alla Nutella,5,2,q.b,NOUN,flat:name
Crepe alla Nutella,5,3,.,PUNCT,punct
Crepe alla Nutella,6,1,Nutella,VERB,ROOT
Crepe alla Nutella,6,2,420,NUM,nummod
Crepe alla Nutella,6,3,g,X,punct
Crepe alla Nutella,7,1,Zucchero,NOUN,ROOT
Crepe alla Nutella,7,2,a,ADP,case
Crepe alla Nutella,7,3,velo,NOUN,advmod
Crepe alla Nutella,7,4,q.b,NOUN,obj
Crepe alla Nutella,7,5,.,PUNCT,punct
Torta tenerina,1,1,Cioccolato,VERB,ROOT
Torta tenerina,1,2,fondente,ADV,advmod
Torta tenerina,1,3,al,ADP,case
Torta tenerina,1,4,55,NUM,nummod
Torta tenerina,1,5,%,SYM,obl
Torta tenerina,1,6,200,NUM,nummod
Torta tenerina,1,7,g,CCONJ,punct
Torta tenerina,2,1,Burro,PROPN,ROOT
Torta tenerina,2,2,100,NUM,nummod
Torta tenerina,2,3,g,CCONJ,punct
Torta tenerina,3,1,Uova,NOUN,ROOT
Torta tenerina,3,2,medie,ADJ,amod
Torta tenerina,3,3,4,NUM,nummod
Torta tenerina,4,1,Zucchero,NOUN,ROOT
Torta tenerina,4,2,150,NUM,nummod
Torta tenerina,4,3,g,CCONJ,punct
Torta tenerina,5,1,Farina,PROPN,ROOT
Torta tenerina,5,2,00,ADP,flat:name
Torta tenerina,5,3,50,NUM,flat
Torta tenerina,5,4,g,CCONJ,punct
Torta tenerina,6,1,Zucchero,NOUN,ROOT
Torta tenerina,6,2,a,ADP,case
Torta tenerina,6,3,velo,NOUN,advmod
Torta tenerina,6,4,q.b,NOUN,obj
Torta tenerina,6,5,.,PUNCT,punct
Crepe dolci e salate (ricetta base),1,1,Uova,PROPN,ROOT
Crepe dolci e salate (ricetta base),1,2,(,PUNCT,punct
Crepe dolci e salate (ricetta base),1,3,medie,ADJ,nmod
Crepe dolci e salate (ricetta base),1,4,),PUNCT,punct
Crepe dolci e salate (ricetta base),1,5,3,NUM,punct
Crepe dolci e salate (ricetta base),2,1,Farina,PROPN,ROOT
Crepe dolci e salate (ricetta base),2,2,00,NUM,flat:name
Crepe dolci e salate (ricetta base),2,3,250,NUM,flat:name
Crepe dolci e salate (ricetta base),2,4,g,NUM,punct
Crepe dolci e salate (ricetta base),3,1,Latte,NOUN,ROOT
Crepe dolci e salate (ricetta base),3,2,intero,ADJ,amod
Crepe dolci e salate (ricetta base),3,3,500,NUM,amod
Crepe dolci e salate (ricetta base),3,4,g,DET,punct
Crepe dolci e salate (ricetta base),4,1,Burro,PROPN,ROOT
Crepe dolci e salate (ricetta base),4,2,40,NUM,nummod
Crepe dolci e salate (ricetta base),4,3,g,X,punct
Crepe dolci e salate (ricetta base),5,1,Burro,PROPN,ROOT
Crepe dolci e salate (ricetta base),5,2,q.b,NOUN,flat:name
Crepe dolci e salate (ricetta base),5,3,.,PUNCT,punct
Pancake,1,1,Farina,PROPN,ROOT
Pancake,1,2,00,NUM,flat:name
Pancake,1,3,125,NUM,nummod
Pancake,1,4,g,CCONJ,punct
Pancake,2,1,Latte,NOUN,ROOT
Pancake,2,2,intero,ADJ,amod
Pancake,2,3,200,NUM,nmod
Pancake,2,4,g,X,acl
Pancake,3,1,Burro,PROPN,ROOT
Pancake,3,2,25,NUM,flat:name
Pancake,3,3,g,PROPN,punct
Pancake,4,1,Zucchero,NOUN,ROOT
Pancake,4,2,15,NUM,nummod
Pancake,4,3,g,NOUN,nmod
Pancake,5,1,Uova,NOUN,ROOT
Pancake,5,2,medie,ADJ,amod
Pancake,5,3,2,NUM,nummod
Pancake,6,1,Lievito,VERB,ROOT
Pancake,6,2,in,ADP,case
Pancake,6,3,polvere,NOUN,obl
Pancake,6,4,per,ADP,case
Pancake,6,5,dolci,NOUN,nmod
Pancake,6,6,6,NUM,nummod
Pancake,6,7,g,NUM,dep
Pancake,7,1,Sale,VERB,ROOT
Pancake,7,2,fino,ADP,case
Pancake,7,3,1,NUM,nummod
Pancake,7,4,pizzico,NOUN,amod
Pancake,8,1,Burro,PROPN,ROOT
Pancake,8,2,q.b,NOUN,flat:name
Pancake,8,3,.,PUNCT,punct
Pancake,9,1,Sciroppo,NOUN,ROOT
Pancake,9,2,di,ADP,case
Pancake,9,3,acero,NOUN,nmod
Pancake,9,4,q.b,NOUN,compound
Pancake,9,5,.,PUNCT,punct
Pancake,10,1,More,PROPN,ROOT
Pancake,10,2,q.b,NOUN,dep
Pancake,10,3,.,PUNCT,punct
Pancake,11,1,Lamponi,PROPN,ROOT
Pancake,11,2,q.b,NOUN,compound
Pancake,11,3,.,PUNCT,punct
Parmigiana di melanzane,1,1,Melanzane,NOUN,ROOT
Parmigiana di melanzane,1,2,ovali,ADJ,amod
Parmigiana di melanzane,1,3,nere,ADJ,amod
Parmigiana di melanzane,1,4,"1,7",NUM,nummod
Parmigiana di melanzane,1,5,kg,NOUN,nmod
Parmigiana di melanzane,2,1,Passata,NOUN,ROOT
Parmigiana di melanzane,2,2,di,ADP,case
Parmigiana di melanzane,2,3,pomodoro,NOUN,nmod
Parmigiana di melanzane,2,4,1,NUM,nummod
Parmigiana di melanzane,2,5,kg,NOUN,nmod
Parmigiana di melanzane,3,1,Mozzarella,PROPN,ROOT
Parmigiana di melanzane,3,2,500,NUM,flat:name
Parmigiana di melanzane,3,3,g,DET,punct
Parmigiana di melanzane,4,1,Parmigiano,PROPN,ROOT
Parmigiana di melanzane,4,2,Reggiano,PROPN,flat:name
Parmigiana di melanzane,4,3,DOP,PROPN,flat:name
Parmigiana di melanzane,4,4,(,PUNCT,punct
Parmigiana di melanzane,4,5,da,ADP,mark
Parmigiana di melanzane,4,6,grattugiare,VERB,xcomp
Parmigiana di melanzane,4,7,),PUNCT,punct
Parmigiana di melanzane,4,8,150,NUM,nummod
Parmigiana di melanzane,4,9,g,CCONJ,punct
Parmigiana di melanzane,5,1,Cipolle,NOUN,ROOT
Parmigiana di melanzane,5,2,dorate,ADJ,amod
Parmigiana di melanzane,5,3,1,NUM,nummod
Parmigiana di melanzane,6,1,Basilico,PROPN,ROOT
Parmigiana di melanzane,6,2,q.b,PROPN,flat:name
Parmigiana di melanzane,6,3,.,PUNCT,punct
Parmigiana di melanzane,7,1,Olio,PROPN,ROOT
Parmigiana di melanzane,7,2,extravergine,ADJ,amod
Parmigiana di melanzane,7,3,d',ADP,case
Parmigiana di melanzane,7,4,oliva,NOUN,nmod
Parmigiana di melanzane,7,5,q.b,PROPN,flat:foreign
Parmigiana di melanzane,7,6,.,PUNCT,punct
Parmigiana di melanzane,8,1,Sale,VERB,ROOT
Parmigiana di melanzane,8,2,fino,ADP,case
Parmigiana di melanzane,8,3,q.b,NOUN,nmod
Parmigiana di melanzane,8,4,.,PUNCT,punct
Parmigiana di melanzane,9,1,Olio,NOUN,ROOT
Parmigiana di melanzane,9,2,di,ADP,case
Parmigiana di melanzane,9,3,semi,NOUN,nmod
Parmigiana di melanzane,9,4,di,ADP,case
Parmigiana di melanzane,9,5,arachide,ADJ,nmod
Parmigiana di melanzane,9,6,q.b,NOUN,nmod
Parmigiana di melanzane,9,7,.,PUNCT,punct
Spaghetti alla Carbonara,1,1,Spaghetti,VERB,ROOT
Spaghetti alla Carbonara,1,2,320,NUM,obj
Spaghetti alla Carbonara,1,3,g,CCONJ,obl
Spaghetti alla Carbonara,2,1,Guanciale,PROPN,ROOT
Spaghetti alla Carbonara,2,2,150,NUM,nummod
Spaghetti alla Carbonara,2,3,g,CCONJ,punct
Spaghetti alla Carbonara,3,1,Tuorli,VERB,ROOT
Spaghetti alla Carbonara,3,2,(,PUNCT,punct
Spaghetti alla Carbonara,3,3,di,ADP,case
Spaghetti alla Carbonara,3,4,uova,NOUN,obl
Spaghetti alla Carbonara,3,5,medie,ADJ,amod
Spaghetti alla Carbonara,3,6,),PUNCT,punct
Spaghetti alla Carbonara,3,7,6,NUM,nummod
Spaghetti alla Carbonara,4,1,Pecorino,PROPN,ROOT
Spaghetti alla Carbonara,4,2,Romano,PROPN,amod
Spaghetti alla Carbonara,4,3,DOP,PROPN,flat:name
Spaghetti alla Carbonara,4,4,50,NUM,flat:name
Spaghetti alla Carbonara,4,5,g,CCONJ,acl
Spaghetti alla Carbonara,5,1,Pepe,NOUN,ROOT
Spaghetti alla Carbonara,5,2,nero,ADJ,amod
Spaghetti alla Carbonara,5,3,q.b,SYM,fixed
Spaghetti alla Carbonara,5,4,.,PUNCT,punct
Cheesecake alla Nutella,1,1,Biscotti,PROPN,ROOT
Cheesecake alla Nutella,1,2,Digestive,PROPN,flat:name
Cheesecake alla Nutella,1,3,180,NUM,flat:name
Cheesecake alla Nutella,1,4,g,PROPN,flat:name
Cheesecake alla Nutella,2,1,Burro,PROPN,ROOT
Cheesecake alla Nutella,2,2,80,NUM,nummod
Cheesecake alla Nutella,2,3,g,CCONJ,punct
Cheesecake alla Nutella,3,1,Nutella,VERB,ROOT
Cheesecake alla Nutella,3,2,500,NUM,flat:name
Cheesecake alla Nutella,3,3,g,DET,punct
Cheesecake alla Nutella,4,1,Formaggio,PROPN,ROOT
Cheesecake alla Nutella,4,2,fresco,ADJ,amod
Cheesecake alla Nutella,4,3,spalmabile,ADJ,amod
Cheesecake alla Nutella,4,4,500,NUM,amod
Cheesecake alla Nutella,4,5,g,DET,punct
Cheesecake alla Nutella,5,1,Granella,NOUN,ROOT
Cheesecake alla Nutella,5,2,di,ADP,case
Cheesecake alla Nutella,5,3,nocciole,NOUN,nmod
Cheesecake alla Nutella,5,4,30,NUM,nummod
Cheesecake alla Nutella,5,5,g,NOUN,punct
Tortino di cioccolato con cuore fondente,1,1,Cioccolato,VERB,ROOT
Tortino di cioccolato con cuore fondente,1,2,fondente,ADV,advmod
Tortino di cioccolato con cuore fondente,1,3,al,ADP,case
Tortino di cioccolato con cuore fondente,1,4,70,NUM,nummod
Tortino di cioccolato con cuore fondente,1,5,%,SYM,obl
Tortino di cioccolato con cuore fondente,1,6,110,NUM,nummod
Tortino di cioccolato con cuore fondente,1,7,g,NUM,punct
Tortino di cioccolato con cuore fondente,2,1,Burro,PROPN,ROOT
Tortino di cioccolato con cuore fondente,2,2,a,ADP,case
Tortino di cioccolato con cuore fondente,2,3,temperatura,NOUN,nmod
Tortino di cioccolato con cuore fondente,2,4,ambiente,NOUN,compound
Tortino di cioccolato con cuore fondente,2,5,110,NUM,nummod
Tortino di cioccolato con cuore fondente,2,6,g,NUM,punct
Tortino di cioccolato con cuore fondente,3,1,Uova,PROPN,ROOT
Tortino di cioccolato con cuore fondente,3,2,(,PUNCT,punct
Tortino di cioccolato con cuore fondente,3,3,2,NUM,nummod
Tortino di cioccolato con cuore fondente,3,4,grandi,ADJ,amod
Tortino di cioccolato con cuore fondente,3,5,),PUNCT,punct
Tortino di cioccolato con cuore fondente,3,6,120,NUM,nummod
Tortino di cioccolato con cuore fondente,3,7,g,CCONJ,punct
Tortino di cioccolato con cuore fondente,4,1,Zucchero,NOUN,ROOT
Tortino di cioccolato con cuore fondente,4,2,40,NUM,nummod
Tortino di cioccolato con cuore fondente,4,3,g,X,punct
Tortino di cioccolato con cuore fondente,5,1,Farina,PROPN,ROOT
Tortino di cioccolato con cuore fondente,5,2,00,NUM,flat:name
Tortino di cioccolato con cuore fondente,5,3,25,NUM,flat:name
Tortino di cioccolato con cuore fondente,5,4,g,CCONJ,punct
Tortino di cioccolato con cuore fondente,6,1,Burro,PROPN,ROOT
Tortino di cioccolato con cuore fondente,6,2,q.b,NOUN,flat:name
Tortino di cioccolato con cuore fondente,6,3,.,PUNCT,punct
Tortino di cioccolato con cuore fondente,7,1,Farina,PROPN,ROOT
Tortino di cioccolato con cuore fondente,7,2,00,NUM,flat:name
Tortino di cioccolato con cuore fondente,7,3,q.b,NOUN,flat:name
Tortino di cioccolato con cuore fondente,7,4,.,PUNCT,punct
Tortino di cioccolato con cuore fondente,8,1,Zucchero,NOUN,ROOT
Tortino di cioccolato con cuore fondente,8,2,a,ADP,case
Tortino di cioccolato con cuore fondente,8,3,velo,NOUN,advmod
Tortino di cioccolato con cuore fondente,8,4,q.b,NOUN,obj
Tortino di cioccolato con cuore fondente,8,5,.,PUNCT,punct
Pesto alla Genovese,1,1,Basilico,PROPN,ROOT
Pesto alla Genovese,1,2,Genovese,PROPN,flat:name
Pesto alla Genovese,1,3,DOP,PROPN,flat:name
Pesto alla Genovese,1,4,70,NUM,flat:name
Pesto alla Genovese,1,5,g,CCONJ,punct
Pesto alla Genovese,2,1,Olio,PROPN,ROOT
Pesto alla Genovese,2,2,extravergine,ADJ,amod
Pesto alla Genovese,2,3,d',ADP,case
Pesto alla Genovese,2,4,oliva,NOUN,nmod
Pesto alla Genovese,2,5,Ligure,PROPN,nmod
Pesto alla Genovese,2,6,DOP,PROPN,flat:name
Pesto alla Genovese,2,7,70,NUM,flat:name
Pesto alla Genovese,2,8,g,CCONJ,punct
Pesto alla Genovese,3,1,Parmigiano,PROPN,ROOT
Pesto alla Genovese,3,2,Reggiano,PROPN,flat:name
Pesto alla Genovese,3,3,DOP,PROPN,flat:name
Pesto alla Genovese,3,4,(,PUNCT,punct
Pesto alla Genovese,3,5,Stravecchio,PROPN,appos
Pesto alla Genovese,3,6,),PUNCT,punct
Pesto alla Genovese,3,7,50,NUM,nummod
Pesto alla Genovese,3,8,g,CCONJ,punct
Pesto alla Genovese,4,1,Pecorino,PROPN,ROOT
Pesto alla Genovese,4,2,sardo,ADJ,amod
Pesto alla Genovese,4,3,(,PUNCT,punct
Pesto alla Genovese,4,4,Fiore,PROPN,nmod
Pesto alla Genovese,4,5,Sardo,PROPN,flat:name
Pesto alla Genovese,4,6,),PUNCT,punct
Pesto alla Genovese,4,7,30,NUM,nummod
Pesto alla Genovese,4,8,g,NOUN,dep
Pesto alla Genovese,5,1,Pinoli,X,ROOT
Pesto alla Genovese,5,2,30,NUM,nummod
Pesto alla Genovese,5,3,g,NUM,flat:name
Pesto alla Genovese,6,1,Aglio,PROPN,ROOT
Pesto alla Genovese,6,2,(,PUNCT,punct
Pesto alla Genovese,6,3,di,ADP,case
Pesto alla Genovese,6,4,Vessalico,PROPN,nmod
Pesto alla Genovese,6,5,),PUNCT,punct
Pesto alla Genovese,6,6,2,NUM,nummod
Pesto alla Genovese,6,7,spicchi,NOUN,conj
Pesto alla Genovese,7,1,Sale,NOUN,ROOT
Pesto alla Genovese,7,2,grosso,ADJ,amod
Pesto alla Genovese,7,3,(,PUNCT,punct
Pesto alla Genovese,7,4,marino,NOUN,nmod
Pesto alla Genovese,7,5,),PUNCT,punct
Pesto alla Genovese,7,6,3,NUM,nummod
Pesto alla Genovese,7,7,g,CCONJ,fixed
Spaghetti all'Amatriciana,1,1,Spaghetti,VERB,ROOT
Spaghetti all'Amatriciana,1,2,320,NUM,obj
Spaghetti all'Amatriciana,1,3,g,CCONJ,obl
Spaghetti all'Amatriciana,2,1,Pomodori,NOUN,ROOT
Spaghetti all'Amatriciana,2,2,pelati,ADJ,amod
Spaghetti all'Amatriciana,2,3,400,NUM,nummod
Spaghetti all'Amatriciana,2,4,g,NUM,punct
Spaghetti all'Amatriciana,3,1,Guanciale,PROPN,ROOT
Spaghetti all'Amatriciana,3,2,(,PUNCT,punct
Spaghetti all'Amatriciana,3,3,di,ADP,case
Spaghetti all'Amatriciana,3,4,Amatrice,PROPN,nmod
Spaghetti all'Amatriciana,3,5,),PUNCT,punct
Spaghetti all'Amatriciana,3,6,150,NUM,nummod
Spaghetti all'Amatriciana,3,7,g,CCONJ,ROOT
Spaghetti all'Amatriciana,4,1,Pecorino,PROPN,ROOT
Spaghetti all'Amatriciana,4,2,Romano,PROPN,flat:name
Spaghetti all'Amatriciana,4,3,DOP,PROPN,flat:name
Spaghetti all'Amatriciana,4,4,(,PUNCT,punct
Spaghetti all'Amatriciana,4,5,DOP,PROPN,nmod
Spaghetti all'Amatriciana,4,6,",",PUNCT,punct
Spaghetti all'Amatriciana,4,7,da,ADP,mark
Spaghetti all'Amatriciana,4,8,grattugiare,VERB,acl
Spaghetti all'Amatriciana,4,9,),PUNCT,punct
Spaghetti all'Amatriciana,4,10,75,NUM,nummod
Spaghetti all'Amatriciana,4,11,g,CCONJ,acl
Spaghetti all'Amatriciana,5,1,Vino,NOUN,ROOT
Spaghetti all'Amatriciana,5,2,bianco,ADJ,amod
Spaghetti all'Amatriciana,5,3,50,NUM,nummod
Spaghetti all'Amatriciana,5,4,g,CCONJ,punct
Spaghetti all'Amatriciana,6,1,Sale,VERB,ROOT
Spaghetti all'Amatriciana,6,2,fino,ADP,case
Spaghetti all'Amatriciana,6,3,q.b,NOUN,nmod
Spaghetti all'Amatriciana,6,4,.,PUNCT,punct
Spaghetti all'Amatriciana,7,1,Peperoncino,NOUN,ROOT
Spaghetti all'Amatriciana,7,2,fresco,ADJ,amod
Spaghetti all'Amatriciana,7,3,1,NUM,nummod
Pasta per la pizza,1,1,Farina,PROPN,ROOT
Pasta per la pizza,1,2,Manitoba,PROPN,flat:name
Pasta per la pizza,1,3,200,NUM,nummod
Pasta per la pizza,1,4,g,X,punct
Pasta per la pizza,2,1,Farina,PROPN,ROOT
Pasta per la pizza,2,2,00,NUM,flat:name
Pasta per la pizza,2,3,300,NUM,flat:name
Pasta per la pizza,2,4,g,CCONJ,punct
Pasta per la pizza,3,1,Acqua,NOUN,ROOT
Pasta per la pizza,3,2,a,ADP,case
Pasta per la pizza,3,3,temperatura,NOUN,nmod
Pasta per la pizza,3,4,ambiente,NOUN,compound
Pasta per la pizza,3,5,300,NUM,nummod
Pasta per la pizza,3,6,ml,NOUN,flat:name
Pasta per la pizza,4,1,Sale,VERB,ROOT
Pasta per la pizza,4,2,fino,ADP,case
Pasta per la pizza,4,3,10,NUM,nummod
Pasta per la pizza,4,4,g,X,punct
Pasta per la pizza,5,1,Lievito,VERB,ROOT
Pasta per la pizza,5,2,di,ADP,case
Pasta per la pizza,5,3,birra,NOUN,nmod
Pasta per la pizza,5,4,fresco,ADJ,amod
Pasta per la pizza,5,5,(,PUNCT,punct
Pasta per la pizza,5,6,oppure,CCONJ,cc
Pasta per la pizza,5,7,"1,5",NUM,nummod
Pasta per la pizza,5,8,se,SCONJ,fixed
Pasta per la pizza,5,9,secco,ADJ,amod
Pasta per la pizza,5,10,),PUNCT,punct
Pasta per la pizza,5,11,4,NUM,conj
Pasta per la pizza,5,12,g,NOUN,fixed
Rotolo alla Nutella,1,1,Uova,NOUN,ROOT
Rotolo alla Nutella,1,2,medie,ADJ,amod
Rotolo alla Nutella,1,3,4,NUM,nummod
Rotolo alla Nutella,2,1,Zucchero,NOUN,ROOT
Rotolo alla Nutella,2,2,115,NUM,nummod
Rotolo alla Nutella,2,3,g,CCONJ,punct
Rotolo alla Nutella,3,1,Farina,PROPN,ROOT
Rotolo alla Nutella,3,2,00,NUM,flat:name
Rotolo alla Nutella,3,3,80,NUM,flat:name
Rotolo alla Nutella,3,4,g,CCONJ,punct
Rotolo alla Nutella,4,1,Estratto,NOUN,ROOT
Rotolo alla Nutella,4,2,di,ADP,case
Rotolo alla Nutella,4,3,vaniglia,NOUN,nmod
Rotolo alla Nutella,4,4,1,NUM,nummod
Rotolo alla Nutella,4,5,cucchiaino,NOUN,nmod
Rotolo alla Nutella,5,1,Nutella,VERB,ROOT
Rotolo alla Nutella,5,2,350,NUM,nummod
Rotolo alla Nutella,5,3,g,CCONJ,punct
Rotolo alla Nutella,6,1,Zucchero,NOUN,ROOT
Rotolo alla Nutella,6,2,a,ADP,case
Rotolo alla Nutella,6,3,velo,NOUN,advmod
Rotolo alla Nutella,6,4,q.b,NOUN,obj
Rotolo alla Nutella,6,5,.,PUNCT,punct
Rotolo alla Nutella,7,1,Cacao,NOUN,ROOT
Rotolo alla Nutella,7,2,amaro,ADJ,amod
Rotolo alla Nutella,7,3,in,ADP,case
Rotolo alla Nutella,7,4,polvere,NOUN,nmod
Rotolo alla Nutella,7,5,q.b,NOUN,nummod
Rotolo alla Nutella,7,6,.,PUNCT,punct
Crema pasticcera,1,1,Latte,NOUN,ROOT
Crema pasticcera,1,2,intero,ADJ,amod
Crema pasticcera,1,3,500,NUM,amod
Crema pasticcera,1,4,g,DET,punct
Crema pasticcera,2,1,Zucchero,NOUN,ROOT
Crema pasticcera,2,2,130,NUM,nummod
Crema pasticcera,2,3,g,NUM,punct
Crema pasticcera,3,1,Tuorli,VERB,ROOT
Crema pasticcera,3,2,(,PUNCT,punct
Crema pasticcera,3,3,circa,ADV,advmod
Crema pasticcera,3,4,7,NUM,nummod
Crema pasticcera,3,5,),PUNCT,punct
Crema pasticcera,3,6,125,NUM,compound
Crema pasticcera,3,7,g,X,punct
Crema pasticcera,4,1,Amido,NOUN,ROOT
Crema pasticcera,4,2,di,ADP,case
Crema pasticcera,4,3,riso,NOUN,nmod
Crema pasticcera,4,4,40,NUM,nummod
Crema pasticcera,4,5,g,X,fixed
Crema pasticcera,5,1,Baccello,NOUN,ROOT
Crema pasticcera,5,2,di,ADP,case
Crema pasticcera,5,3,vaniglia,NOUN,nmod
Crema pasticcera,5,4,2,NUM,nummod
Crema pasticcera,6,1,Scorza,NOUN,ROOT
Crema pasticcera,6,2,di,ADP,case
Crema pasticcera,6,3,limone,NOUN,nmod
Crema pasticcera,6,4,½,NOUN,nmod
Spaghetti alle vongole,1,1,Spaghetti,VERB,ROOT
Spaghetti alle vongole,1,2,grossi,ADJ,flat:name
Spaghetti alle vongole,1,3,320,NUM,nummod
Spaghetti alle vongole,1,4,g,CCONJ,conj
Spaghetti alle vongole,2,1,Vongole,PROPN,ROOT
Spaghetti alle vongole,2,2,1,NUM,nummod
Spaghetti alle vongole,2,3,kg,NOUN,flat:name
Spaghetti alle vongole,3,1,Aglio,NOUN,ROOT
Spaghetti alle vongole,3,2,1,NUM,nummod
Spaghetti alle vongole,3,3,spicchio,NOUN,ROOT
Spaghetti alle vongole,4,1,Prezzemolo,PROPN,ROOT
Spaghetti alle vongole,4,2,1,NUM,flat:name
Spaghetti alle vongole,4,3,mazzetto,NOUN,ROOT
Spaghetti alle vongole,5,1,Olio,PROPN,ROOT
Spaghetti alle vongole,5,2,extravergine,ADJ,amod
Spaghetti alle vongole,5,3,d',ADP,case
Spaghetti alle vongole,5,4,oliva,NOUN,nmod
Spaghetti alle vongole,5,5,q.b,PROPN,flat:foreign
Spaghetti alle vongole,5,6,.,PUNCT,punct
Spaghetti alle vongole,6,1,Pepe,NOUN,ROOT
Spaghetti alle vongole,6,2,nero,ADJ,amod
Spaghetti alle vongole,6,3,q.b,SYM,fixed
Spaghetti alle vongole,6,4,.,PUNCT,punct
Spaghetti alle vongole,7,1,Sale,VERB,ROOT
Spaghetti alle vongole,7,2,fino,ADP,case
Spaghetti alle vongole,7,3,q.b,NOUN,nmod
Spaghetti alle vongole,7,4,.,PUNCT,punct
Spaghetti alle vongole,8,1,Sale,NOUN,ROOT
Spaghetti alle vongole,8,2,grosso,ADJ,amod
Spaghetti alle vongole,8,3,per,ADP,case
Spaghetti alle vongole,8,4,le,DET,det
Spaghetti alle vongole,8,5,vongole,NOUN,nmod
Spaghetti alle vongole,8,6, ,SPACE,dep
Spaghetti alle vongole,8,7,q.b,NOUN,nmod
Spaghetti alle vongole,8,8,.,PUNCT,punct
Cheesecake al limone,1,1,Biscotti,PROPN,nsubj
Cheesecake al limone,1,2,secchi,ADJ,ROOT
Cheesecake al limone,1,3,200,NUM,obj
Cheesecake al limone,1,4,g,X,dep
Cheesecake al limone,2,1,Burro,PROPN,ROOT
Cheesecake al limone,2,2,100,NUM,nummod
Cheesecake al limone,2,3,g,CCONJ,punct
Cheesecake al limone,3,1,Ricotta,PROPN,nsubj
Cheesecake al limone,3,2,vaccina,VERB,ROOT
Cheesecake al limone,3,3,500,NUM,advmod
Cheesecake al limone,3,4,g,DET,punct
Cheesecake al limone,4,1,Formaggio,PROPN,ROOT
Cheesecake al limone,4,2,fresco,ADJ,amod
Cheesecake al limone,4,3,spalmabile,ADJ,amod
Cheesecake al limone,4,4,250,NUM,nummod
Cheesecake al limone,4,5,g,PROPN,punct
Cheesecake al limone,5,1,Succo,NOUN,ROOT
Cheesecake al limone,5,2,di,ADP,case
Cheesecake al limone,5,3,limone,NOUN,nmod
Cheesecake al limone,5,4,100,NUM,amod
Cheesecake al limone,5,5,g,CCONJ,punct
Cheesecake al limone,6,1,Zucchero,NOUN,ROOT
Cheesecake al limone,6,2,a,ADP,case
Cheesecake al limone,6,3,velo,VERB,advmod
Cheesecake al limone,6,4,150,NUM,obj
Cheesecake al limone,6,5,g,CCONJ,dep
Cheesecake al limone,7,1,Scorza,NOUN,ROOT
Cheesecake al limone,7,2,di,ADP,case
Cheesecake al limone,7,3,limone,NOUN,nmod
Cheesecake al limone,7,4,2,NUM,nummod
Cheesecake al limone,8,1,Panna,PROPN,ROOT
Cheesecake al limone,8,2,fresca,ADJ,amod
Cheesecake al limone,8,3,liquida,NOUN,nmod
Cheesecake al limone,8,4,100,NUM,nummod
Cheesecake al limone,8,5,g,CCONJ,punct
Cheesecake al limone,9,1,Gelatina,PROPN,ROOT
Cheesecake al limone,9,2,in,ADP,case
Cheesecake al limone,9,3,fogli,NOUN,nmod
Cheesecake al limone,9,4,10,NUM,nummod
Cheesecake al limone,9,5,g,X,punct
